zip,year,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,legal_gps2122,legal_music2122,legal_app2122
98125,2018,2,1,3,2,1,2,2,2,2,2,2,2,,,
98102,2018,3,1,3,3,3,3,3,1,1,3,3,3,,,
98133,2018,1,1,3,1,3,3,3,3,3,3,3,2,,,
98092,2018,2,1,2,2,2,1,2,1,2,1,2,2,,,
98178,2018,1,1,1,1,1,1,3,1,1,1,2,2,,,
98075,2018,3,3,2,2,1,2,1,2,2,1,2,2,,,
98055,2018,1,1,2,2,1,1,1,2,2,2,1,1,,,
98056,2018,3,1,2,2,1,2,2,2,2,1,2,2,,,
98056,2018,2,1,2,2,2,1,2,2,2,1,1,2,,,
98115,2018,1,1,1,3,3,3,1,1,2,1,3,3,,,
98029,2018,1,1,2,2,1,2,2,2,2,2,1,2,,,
98058,2018,1,1,2,1,1,1,1,1,1,1,2,2,,,
98178,2018,2,2,2,3,3,3,2,3,2,1,3,3,,,
98148,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98115,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98168,2018,2,3,2,2,1,2,2,2,2,1,2,2,,,
98023,2018,3,1,2,2,1,2,2,2,2,1,2,2,,,
98057,2018,3,3,2,1,1,2,1,1,1,2,1,2,,,
98007,2018,2,1,2,2,2,1,2,2,2,1,2,3,,,
98125,2018,3,1,2,2,1,1,2,2,2,1,2,2,,,
98030,2018,2,1,2,2,3,2,3,1,2,1,2,2,,,
98038,2018,2,1,2,2,2,2,3,2,2,1,2,2,,,
98092,2018,2,2,2,2,2,2,2,2,2,2,2,2,,,
98011,2018,3,1,1,2,1,2,1,2,2,1,2,2,,,
98070,2018,3,1,3,3,1,3,1,2,2,1,3,2,,,
98002,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98133,2018,2,2,2,2,3,2,2,2,2,1,2,2,,,
98023,2018,2,1,2,2,3,1,1,2,2,1,2,2,,,
98023,2018,2,1,1,2,3,3,1,3,3,1,2,2,,,
98055,2018,3,1,2,3,3,3,1,3,3,1,1,2,,,
98070,2018,2,1,2,2,3,2,2,2,2,3,2,2,,,
98146,2018,2,3,2,2,3,3,3,2,2,1,2,2,,,
98109,2018,1,1,2,1,1,2,1,1,1,2,2,2,,,
98059,2018,2,1,2,2,3,2,2,2,2,1,2,2,,,
